X;Y
80.94;212.71
82.63;213.71
83.19;214.04
84.92;214.96
86.65;215.87
87.23;216.18
89.00;217.01
90.78;217.84
91.37;218.12
93.19;218.86
95.00;219.60
95.62;219.85
97.46;220.50
99.31;221.15
99.94;221.37
101.81;221.94
103.69;222.49
104.34;222.69
106.24;223.16
108.14;223.62
108.80;223.78
110.72;224.16
112.64;224.53
113.31;224.66
115.25;224.94
117.19;225.22
117.87;225.32
119.82;225.50
121.77;225.68
122.46;225.74
124.41;225.83
126.37;225.92
127.06;225.95
129.02;225.94
130.98;225.93
131.68;225.93
133.63;225.82
135.59;225.72
136.29;225.68
138.24;225.48
140.19;225.28
140.89;225.20
142.83;224.91
144.76;224.61
145.47;224.50
147.39;224.11
149.31;223.72
150.01;223.58
151.91;223.09
153.81;222.61
154.51;222.43
156.38;221.85
158.25;221.27
158.94;221.06
160.78;220.39
162.62;219.72
163.31;219.47
165.12;218.72
166.92;217.96
167.60;217.67
169.37;216.83
171.13;215.98
171.80;215.66
173.52;214.73
175.25;213.80
175.90;213.44
177.58;212.43
179.25;211.41
179.89;211.03
181.52;209.93
183.14;208.83
183.76;208.41
185.33;207.24
186.90;206.06
187.50;205.61
189.01;204.36
190.52;203.11
191.11;202.62
192.55;201.30
194.00;199.98
194.56;199.46
195.94;198.07
197.32;196.67
197.86;196.13
199.17;194.67
200.48;193.21
200.99;192.63
202.23;191.11
203.47;189.59
203.96;188.99
205.12;187.41
206.28;185.83
206.74;185.20
207.82;183.56
208.90;181.93
209.34;181.27
210.33;179.58
211.33;177.90
211.73;177.22
212.65;175.48
213.57;173.75
213.94;173.05
214.77;171.27
215.60;169.50
215.94;168.77
216.67;166.96
217.42;165.14
217.72;164.40
218.37;162.55
219.02;160.70
219.29;159.94
219.85;158.06
220.41;156.18
220.64;155.40
221.11;153.50
221.57;151.59
221.77;150.80
222.14;148.87
222.51;146.95
222.67;146.14
222.95;144.20
223.23;142.26
223.34;141.44
223.52;139.49
223.70;137.54
223.78;136.71
223.87;134.75
223.95;132.80
223.99;131.96
223.98;130.00
223.97;128.04
223.97;127.20
223.86;125.24
223.75;123.29
223.71;122.44
223.50;120.49
